cliente no responde,nr
problemas económico,pe
problemas económico,pe
un problema con la único,pp
cliente corta,cc
no se ha realizado el pago automático,px
conflicto con fecha de pago,rd
no  ,ni
yo recibo mi pensión de d de vejez el día el día 15 entonces por eso después del 15 por eso tengo que pagar siempre pago el 1617 y 18 nunca pago después,rd
no tenía prioridad de verlo en este momento,ft
no  ,ni
cobro posterior a la fecha que me cobran el crédito de pedido fecha de cambio y no me la han ingresado,rd
vacaciones,v
problemas transitorios,pp
cliente corto,cc
cliente corta,cc
estoy fuera de la zona,v
cliente no responde,nr
atraso de sueldo,ap
esta pagada,yp
cliente corta,cc
no  ,ni
cliente corta,cc
problema personal,pp
no tengo internet para pagar mis cuentas,pp
cliente corto,cc
cliente corta,cc
ya se encuentra cancelado,yp
hoydia lo pagué,yp
olvidó más coloridos,o
olvidó,o
motivo personal,pp
cliente corto,cc
cliente corta,cc
olvidó,o
memo me sí estoy sin trabajo,c
olvidó,o
problema personal,pp
enfermedad,ps
mi fecha de sueldo son los 10 de cada mes,rd
olvidó,o
el viaje fuera del país,v
cliente corta,cc
por qué no me pagaron,ap
de los 2 que enfermedad,ps
cliente corto,cc
cliente corto,cc
olvido,o
problemas económico,pe
problemas personales,pp
no tengo dinero en este momento,pe
vacaciones,v
quién sabía no me han pagado empresa esperando que me bajan los recurso u,ap
olvidó,o
esta pagada,yp
demora en transferencia,ap
cliente no responde,nr
olvidó,o
cliente corta,cc
cliente corta,cc
no olvido,o
cliente no responde,nr
sus problemas personales,pp
cliente corta,cc
problemas económicos,pe
problema de duración,pp
cliente corto,cc
licencia médica,ps
olvidó,o
por problemas de salud,ps
no sé el pago de que cosa es,o
cliente corto,cc
tiempo,ft
gastos extra,pe
no  ,ni
su olvido,o
pago realizado,yp
cliente corto,cc
no ha podido ir al banco,pp
no tener plata suficiente para pagarla,pe
conflicto con fecha de pago,rd
accidente,ps
olvido,o
no me fije la fecha,o
es que no me pagan un mes,ap
ninguna razón,o
dinero,pe
por mis fechas de pago,rd
retraso de pagos de facturas ,ap
solamente un descuido nada más,o
no,ni
atrazada en pago,ap
el sueldo no están pagando atrasado,ap
vacaciones,v
no pago de licencias médicas,ap
contingencia social,se
por que quiero voy a cambiar la fecha de pago,rd
cliente corta,cc
no la había visto,o
me atrasaron pagos,ap
por problemas,pp
se me olvidó,o
problemas económicos,pe
demoras,ap
no,ni
cesante,c
atrazada en transferencia,ap
cliente corto,cc
no estaba en santiago,v
olvido,o
cliente corto,cc
olvidó,o
problema personal,pp
licencia medica y problemas económicos,ps
atraso de remuneración,ap
no tenía dinero,pe
disponibilidad,ft
afuera del país,v
descalce de fondos,pe
atraso nomas,ft
no no me di cuenta ahora voy a transferir,o
cliente corta,cc
sin acceso a computador ni internet,pp
no  ,ni
no no,ni
es que no me han cancelado mi sueldo,ap
problemas de salud,ps
retraso de ingreso,ap
un no lo sé,o
cliente corta,cc
cliente corto,cc
contingencia social,se
cambio de fecha de sueldo,rd
no  ,ni
demoras en el ingreso de fondos,ap
falta de fondos,pe
cliente corto,cc
sólo falta depósito,ap
retraso en el pago de mi sueldo,ap
problemas económico,pe
olvido,o
no,ni
cliente corta,cc
cliente corta,cc
cliente corta,cc
particular,pp
cliente corta,cc
cliente no responde,nr
no,ni
"es atraso, nada más",ap
falta de dinero,pe
cliente corto,cc
estaba de vacaciones fuera de chile,v
estado fuera de la ciudad,v
me olvidé,o
los falso son los 20 resolver sus bragas abajo,nc
ya lo pagué,yp
falta de fondos,pe
por el trabajo,pp
no me había dado cuenta que estaba sobre girado,o
no tenía plata desistí de,pe
problemas económicos,pe
olvido,o
tuve unos gastos extra,pe
sin dinero sin dinero sin dinero sin dinero,pe
no revisé la cuenta,o
que me pagan el 20,rd
otros gastos,pe
no tengo ningún atraso,yp
no,ni
tiempo,ft
cliente corto,cc
cesante,c
cesantías,c
cliente corto,cc
problema personal,pp
falta de pago,pe
no,ni
falta de tiempo,ft
falta de fondos,pe
no he estado en la zona,v
despedido de empleo,c
no  ,ni
cliente corto,cc
cesantía,c
no,ni
no me pagaron en el trabajo,ap
atrase en las deudas,pe
falta de fondos,pe
no,ni
conflicto con fecha de pago,rd
problema personal,pp
no pero yo ya lo pagué esto pagué esa deuda,yp
motivos personales,pp
no,ni
personales,pp
estaba de viaje,v
no  ,ni
no,ni
no  ,ni
cliente corta,cc
cliente corta,cc
hay un desfase con mis liquidaciones,ap
autopago,yp
olvidó,o
olvidó,o
olvido,o
no,ni
olvidó,o
problemas económicos,pe
cliente corto,cc
problema personal,pp
cliente corta,cc
cliente no responde,nr
mi no me han pagado,ap
cesante,c
cliente corta,cc
porque estaba de viaje,v
falta de fondos,pe
vacaciones,v
cliente corta,cc
autopago,yp
señorita desde que me hicieron de esta fe el banco que está algo mal eso fue del año 2018 ya y eso el banco los sabe sabe muy bien tuve que pedir un crédito para poder afrontar la situación tengo que pagar cerca se sientan lucas mensuales y bueno sabine darse 2 teleseries porque la verdad es que este están al tanto de todo eso pues sí y no quiero decir nada más porque la verdad que la impresión que me causó la cosa es te,pe
estaba muy lleno el banco santander por eso no cancele,ft
el pago de la quincena,rd
no tengo plata sencillamente mi ejecutiva por que no me llama ella en vez de una grabación que es tan informal,pe
cliente corto,cc
problema,pp
cliente corto,cc
vacaciones,v
motivos personales,pp
no,ni
cliente corta,cc
me quede sin datos,pp
falta de tiempo,ft
pero si eso me lo descuentan ellos mismos no se por qué no me lo descontaron,yp
no hay saldo,pe
conflicto con fecha de pago,rd
no sabía,o
enfermedad,ps
problema con plataforma de pago,px
licencia,ps
cesante,c
conflicto con fecha de pago,rd
atraso de algunos bancos,ap
cliente corta,cc
vacaciones,v
olvidó,o
estoy fuera de santiago,v
conflicto con fecha de pago,rd
nada especial,o
no tengo idea pero como el 5 si hoy día estamos a 5 como me esta diciendo que hay un atraso,nr
no,ni
mis problemas económicos,pe
porque he estado enferma,ps
olvidó,o
porque yo cancelo los días 20,rd
cliente corta,cc
cliente corta,cc
estaba fuera de chile,v
no,ni
problemas con la forma de pago,px
cliente corta,cc
cliente corto,cc
cliente corto,cc
cliente corto,cc
falta de fondos,pe
cliente corto,cc
no no sabía que tenía 211 atraso en la tarjeta,o
no tengo cuenta corriente y lo hago a través de un llamado telefónico que no lo han hecho,px
olvidó,o
problemas económico,pe
cliente corta,cc
licencia medica,ps
cliente corto,cc
no,ni
problemas de salud,ps
cambio de empleo,ap
cliente no responde,nr
despedido de empleo,c
cliente corto,cc
falta de medios,pe
no  ,ni
porque no pude,pp
cliente corto,cc
afuera de zona,v
no  ,ni
problemas económico,pe
no,ni
no  ,ni
cesante,c
cliente corto,cc
no,ni
cliente corta,cc
retraso en los ingresos,ap
cliente corta,cc
no  ,ni
estaba fuera del país,v
a mí me lo descuentan directamente de mi remuneraciones y a mí me pagan las 19 por eso no nos no sale antes,rd
olvidó,o
fecha de cobro,ft
el forte plata,pe
olvidó,o
cliente corta,cc
no que andaba fuera no más,v
de trabajo lejos y no me das tiempo,ft
vacaciones,v
no,ni
no,ni
no,ni
él no no sé en realidad no no sé,o
no hay dinero,pe
problema personal,pp
no me pagaron lo que tenían que pagarme,ap
no,ni
cliente corto,cc
porque deberían haberme hecho el cargo a la cuenta corriente y no lo hicieron,px
cliente corta,cc
cliente no responde,nr
me olvidé,o
no,ni
olvidó,o
personal,pp
el atraso de pago un sueldo,ap
cliente no responde,nr
cesante,c
olvidó,o
problema personal,pp
no,ni
no,ni
me estás,nc
sin trabajo,c
ya está pagado,yp
no,ni
no  ,ni
cliente corta,cc
cliente corto,cc
trabajo sin trabajo,c
olvidó,o
se me olvidó cancelarlo,o
pago el 20,rd
no tengo los fondos aún,ap
no,ni
olvidó,o
no  ,ni
no,ni
olvidó,o
contingencia social,se
problemas familiares,pf
cliente corta,cc
no,ni
que mi sueldo me lo pagan me lo pagan ahora me lo tiene que estar por pagar ahora estos días todavía no me pagan el sueldo ,ap
vacaciones,v
entero dentado de mi licencia,ps
cliente no responde,nr
no,ni
olvidé pagarle,o
tengo que revisar no no entendí lo que tenía,o
cliente corta,cc
todavía no recibo sueldo,ap
no,ni
y la fecha de pago de mi empresa no puedo ante,ap
problemas económicos,pe
economico,pe
no  ,ni
es por la línea de por la línea de crédito es por eso mismo por el el cobro de la comisión por mantenimiento,ap
sin fondos,pe
"no se yo, se salto un deposito de 280000 pesos",ap
cliente corto,cc
falta de fondos,pe
no no puede preguntar que le interesa,ni
no me pagaron en el trabajo,ap
está viajando,v
autopago,yp
la estaba fuera del trabajo y fuera estaba de vacaciones,v
improvisto,pp
cliente corta,cc
falta de pago,ap
cliente no responde,nr
cliente corto,cc
por falta de disponibilidad,ft
estaba hecha la transferencia descuentan de la cuenta corriente,yp
no  ,ni
mi pago,ap
me pagan hoy,rd
no,ni
ninguna razón,o
problemas económico,pe
cliente corta,cc
problema personal,pp
se me olvido transferir a la cuenta,o
porque no me alcanzó el dinero,pe
vacaciones,v
económico,pe
urgencia médica hospitalización de mi bola,ps
no  ,ni
cliente corto,cc
no lo revisé descuido,o
no lo sé tengo que revisar la cuenta,o
cliente corta,cc
tuve un problema personal,pp
falta de fondos,pe
cliente no responde,nr
falta de tiempo,ft
como por temas de pega no por mi trabajo tengo 2 de perder hundido por los yon pide ver,c
no  ,ni
cliente corta,cc
no,ni
cliente no responde,nr
no,ni
tiempo,ft
no tengo dinero bueno ganó plata en estos meses yo,pe
estoy en el extranjero,v
cliente corta,cc
olvidó,o
cliente corta,cc
cliente corta,cc
problemas con la tarjeta,px
no,ni
olvidó,o
problema personal,pp
cliente corta,cc
sin saldo,pe
cliente no responde,nr
cliente corto,cc
me atrasé,o
olvidó,o
me pagan desfasado el sueldo,rd
no,ni
falta de tiempo,ft
cliente corta,cc
enfermedad,ps
no falta dinero,pe
olvidó,o
me había olvidado,o
olvido,o
contingencia social,se
no,ni
que no han pagado todavía el sueldo de enero todavía no lo pagan,ap
un descuido mio,o
el problema económico pero yo cancelé ayer,yp
en en otoño no tenía plata,pe
cliente corto,cc
cliente corto,cc
no,ni
e no tuve pagos 4 en un,pe
pension alimenticia,ap
estaba fuera de la zona,v
no,ni
no,ni
cliente no responde,nr
no,ni
cliente corta,cc
cesante,c
si no tenía tiempo para ir al banco la sucursal de aca del mall que es la cercana donde yo pagaba esta cerrada o no tenía tiempo,ft
cliente corta,cc
no,ni
no,ni
los problemas económicos,pe
falta de tiempo,ft
no,ni
no,ni
cliente corto,cc
cliente no responde,nr
no tengo razón,o
cliente corta,cc
se han demorado en depositar mi sueldo,ap
he tenido problemas personales,pp
cliente corta,cc
cliente corta,cc
olvidó,o
un problema de coordinación de recursos no más,pe
olvidó,o
cliente corto,cc
no en mi vida que no habían saldo en la cuenta de,pe
deposito de sueldo corresponde a la fecha de,rd
licencia medica  ,ps
conflicto con fecha de pago,rd
no me había fijado de la diferencia,o
se me olvido no me doy cuenta,o
eh muchas deudas la verdad está un poco en realidad,pe
cliente corta,cc
ninguno andaba fuera de chile,v
vacaciones,v
"por la remuneración mía, las fechas",rd
problema personal,pp
pero no entiendo que atrasó,o
problema familiar,pf
el pago de la remuneración,ap
bueno da lo mismo lo que sea el atraso da lo mismo ,ni
estoy cerrando la cuenta,pp
cliente no responde,nr
pago realizado,yp
no,ni
cliente corta,cc
vacaciones,v
cliente corto,cc
problemas económico,pe
desconozco el cobro,o
cliente corta,cc
por la fecha de mi pago,ap
ya se canceló,yp
problemas económico,pe
cliente corto,cc
problemas personales,pp
sin trabajo ,c
no tenía tiempo,ft
cliente corta,cc
cliente corto,cc
olvidó,o
mi tiempo de pago,ap
cliente no responde,nr
siempre lo canceló en esa fecha el día 20 de cada mes,rd
no,ni
no osea temas personales,pp
no tenía,pe
obvio que no hay plata no tenemos patatas muy crecen,pe
no pago de licencias postnatal,pe
e falta de fondo,pe
no  ,ni
ya está cancelado,yp
"ando de vacaciones, por favor dejeme tranquilo",v
enfermedad,ps
cliente no responde,nr
problemas económico,pe
son motivos personales,pp
tenía que depositar la plata y por trabajo no puedo salir de la oficina tengo que mandar a alguien,ft
olvidó,o
enfermedad,ps
falta de tiempo,ft
económia,pe
cliente corta,cc
cliente corta,cc
liquidez,ap
olvidó,o
olvido,o
cliente corto,cc
olvido,o
problemas económico,pe
problema con plataforma de pago,px
cliente corto,cc
vacaciones,v
conflicto con fecha de pago,rd
cliente no responde,nr
afuera de zona,v
descuido,o
cliento no responde,nr
vacaciones,v
no,ni
todo lo que pasó en el país hizo que se rompan todo todo todas las cuentas netamente contingencia,se
por cesantía,c
falta de fondos,pe
cliente no responde ,nr
olvidó,o
falta de fondos,pe
no que yo pago siempre trazado éste empleaba horacio empleaba unos 22 meses,rd
no,ni
no,ni
no pago de licencia,ap
cesantía,c
mi empleador aún no me paga el sueldo,ap
perdió documentos,pp
olvidó,o
motivos personal,pp
olvido de hecho si se da cuenta sí pagué la otra tarjeta,o
se me olvidó,o
de vacaciones ando fuera de centro de mando en santiago,v
estan fuera de santiago,v
cliente corta,cc
olvidó,o
atrazo en recibir compensacion de licencia medica  ,ap
no  ,ni
olvidó,o
cliente corta,cc
olvidó,o
no se encuentra,nc
cliente corta,cc
cliente corta,cc
no no puede preguntar,ni
no,ni
económico,pe
cliente corto,cc
cliente corta,cc
"estaba en el trabajo, en la minera",ft
falta de fondos,pe
conflicto con fecha de pago,rd
el banco no pago la plata,ap
atrazo en pago,ap
"atraso del salario, mi salario atrasó",ap
cliente corto,cc
"plata, problemas de plata",pe
no,ni
cliente no responde,nr
autopago,yp
problema médico,ps
económico,pe
problema personal,pp
olvido de nuevo,o
olvido,o
olvidó,o
no revisar la cuenta,o
falta de fondos,pe
económica,pe
pago realizado,yp
cliente corta,cc
cliente corta,cc
problema con plataforma de pago,px
es que fue un atraso de que me hicieron a mi también que las personas estaban de vacaciones entonces dejaron no no se preocuparon de depositar,ap
cliente corto,cc
no lo se,o
falta de fondos,pe
emergencia personal,pp
no,ni
no hay plata,pe
no,ni
